wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
117,1,25899.25,5.01,41.64,5173,622,14.3,135.79,10.63,5.86,143030.77,7.15,41.74,1766
117,1,20625.69,4.69,31.25,4400,660,13.31,130.94,10.47,5.13,133074.05,7.91,39.66,1715
117,1,14334.99,3.98,34.46,3605,416,11.73,184.38,10.54,5.41,117304.86,7.93,41.5,1340
117,1,14420.95,3.58,47.91,4028,301,11.88,364.8,10.72,6.44,118772.1,7.59,40.49,758
118,1,4094,2.47,89,1660,46,4.85,1359.82,10.78,6.49,24226.78,13.88,11.57,100
118,1,3160,3.44,87.78,919,36,4.86,1750.9,11.26,8.37,24285.36,14.04,10.36,70
118,1,2820,2.65,90.97,1064,31,4.88,2334.58,11.44,8.33,24379.32,13.8,10.24,67
118,1,3200,3.42,91.43,937,35,4.84,2274.04,12.37,9,24206.73,13.95,8.24,57
120,1,4081.24,4.32,28.94,944,141,3.84,67.05,11.61,5.9,19190.6,11.05,21.43,151
120,1,3238.6,3.39,21.74,956,149,3.62,38.77,11.16,4.74,18108.73,11.55,21.12,154
120,1,3973.93,4.23,20.7,939,192,3.63,63.16,11.28,4.93,18171.31,13.3,20.6,197
120,1,4732.88,4.53,19.64,1044,241,2,24.61,10.95,3.87,9997.26,15.11,22.89,252
127,1,79643.88,2.99,307.51,26606,259,22.27,127.9,12.28,4.96,334083.87,2.42,3.55,4406
127,1,90672.5,3.15,266.68,28761,340,23.79,125.16,12.34,4.84,356813.05,2.37,3.19,4970
127,1,93015.13,3.33,244.78,27922,380,25.21,121.3,12.45,5.04,378080.34,2.28,2.95,4852
127,1,89933.38,3.09,249.81,29106,360,25.79,131.38,12.41,4.88,386820.84,2.25,2.83,4666
154,1,33222.88,3.4,15.14,9773,2194,19.77,151.74,11.52,4.53,98831.26,6.46,0.54,2194
154,1,33224.09,3.52,16.69,9440,1991,21.28,148.57,11.35,3.85,106405.85,6.15,0.5,1991
154,1,46109.07,4.14,15.35,11141,3003,25.14,175.68,11.68,4.68,125685.01,5.1,0.47,3003
154,1,43901.07,3.79,15.88,11595,2765,26.46,201.5,11.41,3.86,132297.43,5.01,0.44,2765
154,1,41183.95,3.65,14.02,11289,2937,24.77,117.03,11.64,4.13,123865.12,4.65,0.45,2937
154,1,42479.12,4.14,12.72,10269,3340,26.9,112.18,11.86,5.77,134483.67,4.53,0.25,3340
171,1,9004.15,2.84,95.79,3165,94,9.97,1313.83,10.21,6.06,59809.39,11.94,2.07,125
