wdzjPlatId,platName,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,netInflowOfThirty,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
59,陆金服,0,961250.56,4.33,7.32,222025,131346,1571.43,0,1842.15,8.34,33.91,15714280.94,1.22,0,134073
59,陆金服,0,1043081.35,4.87,3.98,214223,261832,1575.42,0,212.03,8.36,32.93,15754164.91,1.07,0,261832
59,陆金服,0,1278893.36,6.76,3.41,189060,375438,1590.83,0,32238.86,8.36,32.31,15908270.4,0.92,0,375438
59,陆金服,0,1357132.97,7,3.57,193921,380577,1613.09,0,16327.96,8.35,32.77,16130942.62,0.78,0,380577
59,陆金服,0,787715.18,3.63,3.57,216800,220781,1590.91,0,-7995.3,8.31,31.71,15909100.64,0.68,0,220781
59,陆金服,0,571745.91,3.17,1.77,180197,322553,1538.56,0,-2.97,8.3,29.26,15385616.91,0.6,0,322553
59,陆金服,0,682755.03,3.37,2.07,202735,329666,1502.46,0,-10059.68,8.31,29.95,15024591.19,0.51,0,329666
59,陆金服,0,587093.74,3.19,2.02,184071,290538,1454.23,0,-6503.46,8.34,30.18,14542338.69,0.45,0,290538
59,陆金服,0,395246.43,3.34,1.56,118261,253973,1389.22,0,-9028.64,8.23,28.13,13892191.91,0.41,0,253973
59,陆金服,0,272874.71,2.22,0.88,122652,310867,1315.09,0,-20420.98,8.34,25.38,13150918.08,0.4,0,310867
60,红岭创投,0,929818.1,10.09,95.33,92180,9754,334.36,12.3,16581.98,8.88,1.74,2006188.66,0.89,7.84,327287
60,红岭创投,0,896003.55,9.93,95.69,90232,9364,322.48,13.5,16527.75,8.53,1.66,1934883.73,0.94,7.77,323712
60,红岭创投,0,923078.29,10.58,92.64,87211,9964,333.68,13.66,23098.22,8.46,1.91,2002066.81,1.02,7.45,307561
60,红岭创投,0,970980.62,10.95,101.94,88658,9525,332.87,13.2,13122.41,8.76,1.92,1997198.94,1.1,6.05,307017
60,红岭创投,0,986606.19,11.37,105.15,86810,9383,330.07,13.68,-1558.27,8.76,2.26,1980395.4,1.02,5.79,317416
60,红岭创投,0,957680.79,11.19,109.16,85583,8773,336.27,14.08,48066.6,8.47,1.69,2017617.36,1.04,5.54,283940
60,红岭创投,0,963695,10.79,115.84,89327,8319,311.88,13.43,-7371.13,7.82,1.25,1871296.47,1.04,5.56,260945
60,红岭创投,0,999000.45,11.3,116.52,88428,8574,312.74,12.69,14713.41,8.28,1.44,1876463.8,1.26,5.14,277920
60,红岭创投,0,901502.12,10.63,102.15,84777,8825,297.65,14,12820.41,8.27,1.26,1785906.46,1.13,5.09,278138
60,红岭创投,0,892992.21,10.81,107.11,82627,8337,282.77,13.06,24966.33,8.48,1.34,1696624.44,1.14,4.41,282702
60,红岭创投,0,857372.91,10.33,112.02,82994,7654,266.86,11.31,19406.93,11.47,0.96,1601174.87,1.24,4.69,306126
60,红岭创投,0,925230.84,11.56,140.17,80059,6601,259.63,13.9,10836.5,13.49,0.89,1557752.78,1.19,4.82,330744
60,红岭创投,0,730274.56,9.82,124.47,74365,5867,245.48,7.3,18781.35,10.12,1.01,1472867.59,1.25,3.61,185454
60,红岭创投,0,629242.7,9.14,122.02,68847,5157,213.89,10,9603.2,7.92,1.14,1283314.7,1.43,3.06,136195
60,红岭创投,0,516975.58,8.4,122.86,61535,4208,193.71,9.8,7800.97,7.72,1.05,1162283.1,1.49,3.05,118541
60,红岭创投,0,444148.38,7.65,116.94,58052,3798,171.97,12.4,6829.7,7.41,1.01,1031827.75,1.52,2.93,101675
60,红岭创投,0,349309.22,6.91,96.9,50569,3605,137.82,13,3803.17,6.43,1.14,826934.49,1.57,2.84,81519
