wdzjPlatId,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
1732,1,37544.7,3.24,168.36,11593,223,7.17,11916.01,10.17,1.86,71700.84,4.54,75.22,901
460,1,26923.53,2.74,13.45,9817,2002,33.04,118.93,11.2,10.67,363431.04,3.28,5.24,3710
500,1,35500.03,3.74,22.8,9493,1557,24.44,287.78,9.7,6.29,307105.72,2.71,0.33,1557
475,1,4611.35,4.36,35.47,1058,130,0,138.77,13.62,4.69,17154.76,10.77,12.91,370
1881,1,51754.18,3,6.09,17232,8492,10.43,126.21,11.48,3.21,156515,3.6,2.27,2367
2750,1,134157.42,13.47,28.21,9961,4756,2.91,153.14,8,7.11,920456.76,1.25,47.56,5464
4197,1,18914.58,5.09,19.36,3713,977,7.01,257.91,11.93,4.01,70106.12,4.9,0.29,977
3051,1,27586.29,7.58,13.48,3641,2046,8.9,104.51,10.33,5.59,53406.72,9.88,2.08,2395
443,1,8505.64,1.7,23.43,4990,363,17.37,52305.33,6,7.66,93133.93,16.99,1.15,366
3168,1,2815.5,9.51,11.78,296,239,1.93,175.87,14.97,8.01,19347.71,16.86,3.19,241
809,1,87369.75,7.76,91.01,11261,960,23.11,271.12,10.21,2.89,231099.77,23.39,0.48,960
4412,1,2912,2.36,69.33,1235,42,6.21,2463.46,11.52,7.13,31035.26,4.17,3.22,44
1208,1,4328.2,15.91,254.6,272,17,2.51,683.27,11.36,1.84,7536.19,27.67,94.51,162
435,1,2777.53,1.18,10.21,2346,272,13.68,785.93,10.64,4.79,30395.35,10.92,1.73,279
3841,1,49293.48,8.75,2.54,5635,19392,30.53,26.32,7.7,6.39,305253.2,2.92,0.05,806
623,1,42551.06,2.47,3.7,17196,11487,16.82,0.18,12.01,26.43,336357.04,2.36,0.3,69807
4197,1,41289.82,4.41,4.5,9361,9178,6.65,18.95,8.99,2.57,66473.06,5.54,0.35,9178
610,1,64070.87,3.97,14.95,16126,4286,16.19,922.91,9.61,3.05,161858.15,5.73,18.51,4763
2570,1,2547.69,2.21,169.85,1152,15,0.71,2382.58,13.15,1.43,3549.14,10.29,87.92,214
671,1,24929.54,3.45,311.62,7232,80,12.77,1476.17,9.79,2.69,76590.9,5.95,30.57,195
1881,1,50564.94,3.54,9.56,14300,5287,9.11,15534.08,11.22,3.3,136575.34,3.89,8.66,2365
4312,1,964.09,3.84,964.09,251,1,0.15,1196.87,15.9,4.74,1942.45,23.07,100,86
1681,1,1222.26,5.05,1222.26,242,1,6.57,11.47,17.65,9.76,6569.45,20.67,99.41,2284
1623,1,15096.25,3.95,55.1,3821,274,8.78,817.81,11.3,5.07,48789.77,8.85,2.24,315
3168,1,2726.5,8.71,12.86,313,212,1.51,103.45,13.81,7.39,15096.2,18.3,4.02,217
3051,1,14335.87,4.7,9.07,3048,1581,8.64,70.82,10.47,4.15,51829.81,12.82,2.9,1641
1483,1,4185.7,9.43,68.62,444,61,1.14,278.22,12.15,1.35,5692.63,19.42,32.88,255
1112,1,3776,3.55,269.71,1064,14,3.72,759.98,12.79,4.9,18589.04,15.22,56.65,235
220,1,5229.64,3.76,10.99,1392,476,3.52,146.71,12.72,8.89,17667.14,31.64,4.71,1152
245,1,16804.5,3.1,39.26,5425,428,10.37,453.52,13.89,11.23,103725.45,8.32,4.53,1153
1330,1,364.85,4.15,364.85,88,1,0.55,2519.53,15.39,2.64,1100.12,47.47,100,23
3346,1,4056.51,2.36,4.31,1718,942,3.07,866.03,11.36,5.87,15359.75,19.71,20.24,184
474,1,5668,42.62,56.12,133,101,15.77,426.73,11.5,1.41,7884.22,48.89,7.76,101
220,1,4909.54,3.71,10.45,1324,470,3.32,83.5,12.88,10.33,16680.96,31.63,4.44,1009
731,1,7230,24.34,160.67,297,45,0.93,407.54,9.44,4.15,9299.39,25.3,43.95,230
97,1,30552.67,3.82,0.23,8007,130420,74.97,2.8,12.4,7.61,150687.89,7.66,1,140111
310,1,4280.22,6.82,13.25,628,323,0,194.7,13.84,1.77,11209.57,24.05,8.92,390
5588,1,10017.56,2.45,30.36,4082,330,5.01,759.8,9.79,2.63,25034.41,8.7,47.43,605
1112,1,5071.3,5.32,90.56,954,56,4.13,670.46,12.86,5.46,20629.3,15.81,47.15,305
897,1,38132.09,2.52,14.37,15108,2653,0,185.7,10.22,3.12,89043.91,3.75,0.68,2725
1208,1,4444.2,16.96,77.97,262,57,2.32,508.3,11.43,2.17,6948.83,35.82,69.28,156
881,1,33075.75,9.39,1.52,3523,21830,90.72,20.64,12.83,4.33,115937.8,6.93,1.2,22131
173,1,17264,3.1,479.56,5574,36,3.07,1044.82,10.2,5.64,61359.34,3.61,38.2,210
117,1,26830.33,4.44,66.58,6048,403,13.89,393.18,10.36,6.21,138929.43,7.33,36.97,1105
1112,1,4355.5,4.14,272.22,1052,16,3.93,752.49,12.85,5.29,19648.41,15.34,55.96,271
1330,1,340.03,6.18,340.03,55,1,0.47,1956.07,16.44,3.64,937.94,50.18,100,24
1208,1,2604.55,16.28,2604.55,160,1,2.19,1068.36,11.34,1.84,6560.27,27.13,99.85,90
175,1,38737.91,5.35,578.18,7243,67,15.57,511.23,10.26,4.49,172973.26,6.14,18.7,413
368,1,6682.97,2.28,9.28,2929,720,8.68,268.86,13.02,7.16,32558.1,9.05,2.9,759
610,1,46451.59,3.12,9.9,14911,4693,16.26,626.95,9.58,3.19,162644.12,8.8,51.14,5730
127,1,90672.5,3.15,266.68,28761,340,23.79,125.16,12.34,4.84,356813.05,2.37,3.19,4970
574,1,24361,6.72,609.03,3623,40,8.73,108.99,12.4,2.54,43639.29,7.6,49.06,1365
1089,1,18190,6.58,757.92,2765,24,21.26,472.6,14.07,5.32,116911.33,4.64,31.04,186
1401,1,1269.18,2.85,6.07,446,209,1.25,161.12,11.32,1.52,1736.05,23.86,11.44,209
3364,1,4893.15,6.99,56.9,700,86,0.79,429.17,10,0.97,4932.61,19.42,34.42,274
674,1,23104.07,2.02,1.92,11415,12016,17.38,18096.83,9.95,4.25,86922.74,4.88,33.55,397
1113,1,5523.23,1.94,345.2,2847,16,2.64,1600.26,11.61,1.77,13200.98,23.6,87.2,124
195,1,1816.15,2.18,19.96,832,91,0.72,121.68,13.06,3.92,3576.24,12.84,27.96,125
623,1,8628.09,1.59,1.2,5412,7200,16.37,0,12.43,28.49,327335.3,2.31,0.31,29305
154,1,43901.07,3.79,15.88,11595,2765,26.46,201.5,11.41,3.86,132297.43,5.01,0.44,2765
195,1,2649.2,2.77,26.49,957,100,0.98,295.7,13.79,5.03,4918.77,12.01,20.33,150
447,1,48500.3,5.42,28.99,8952,1673,35.76,149.98,12.97,11.47,286069.72,1.97,0.35,1673
942,1,354737.77,9.81,40.73,36147,8709,53.56,7.95,11.49,12.11,535620.01,6.24,0.6,268950
49,1,7669.61,4.06,49.16,1891,156,6.83,463.15,9.73,6.33,34141.65,10.93,14.22,338
443,1,14751.42,2.79,16.12,5286,915,42.23,68882.47,9.81,13.01,84462.92,9.13,1.28,917
533,1,3610,4.52,19.2,799,188,6.04,812.02,10.44,6.62,18132.2,25.34,5.03,188
699,1,3903.15,3.54,20.76,1102,188,3.07,809.15,11.1,4.58,15341.38,11.39,17.01,308
3364,1,4352.9,7.7,64.97,565,67,0.68,280.13,10,1.01,4272.58,22.65,37.2,226
1440,1,35365.01,2.72,12.6,13004,2807,15.34,64.12,8.96,2.77,76708.95,4.76,1.43,7201
1450,1,4321.69,2.4,40.02,1798,108,9.17,144.85,14.75,2.14,9174.58,9.74,42.17,220
1331,1,5649.75,1.01,4.62,5616,1224,30.31,14.08,16.5,14.35,45464.44,9.25,8.39,1294
905,1,6212.05,3.64,66.09,1707,94,4.19,545.49,16.23,2.43,12577.21,9.7,79.28,479
49,1,5267.81,3.6,34.89,1464,151,6.13,960.7,9.21,4.79,30630.27,10.43,6.14,279
3187,1,43704.62,2.68,16.11,16327,2713,31.15,286.42,10.41,3.66,155754.08,1.79,0.95,2795
171,1,8650,5.24,99.43,1650,87,9.8,1611.73,10.67,7.43,58800.42,12.95,1.87,100
333,1,7213.3,5.5,93.68,1312,77,5.28,12.35,13.21,4.01,26399.16,12.49,23.88,340
1653,1,7103.07,3.78,9.69,1880,733,4.58,83.69,16.13,10.04,23818.84,12.47,4.08,858
4420,1,21966.53,5.34,1996.96,4115,11,20.84,503.63,8.98,5.31,104221.85,4.1,87.47,1627
575,1,2486.69,2.88,34.06,864,73,2.95,558.96,12.53,3.11,14746.22,19.61,6.78,91
1465,1,13008.33,2.44,333.55,5321,39,2.75,746.44,11.48,1.59,27524.52,38.28,50.16,273
1229,1,1230,3.13,94.62,393,13,19.6,2476.83,12.84,10.76,19600.52,19.17,5.1,13
