wdzjPlatId,platName,isBroken,amount,avgBidMoney,avgBorrowMoney,bidderNum,borrowerNum,currentLeverageAmount,fullloanTime,netInflowOfThirty,incomeRate,loanPeriod,stayStillOfTotal,top10DueInProportion,top10StayStillProportion,totalLoanNum
3051,易港金融,1,8117.44,3.51,12.47,2312,651,7.74,213,-158.72,10.54,6.4,46453.56,9.93,2.25,689
3090,中业兴融,0,13315.26,1.08,0.13,12373,100168,37.54,4.4,-629.84,13.72,38.37,197559.78,3.85,0.51,100168
3098,惠投无忧,0,276.3,3.29,21.25,84,13,3.86,1.8,-1.95,10.17,8.39,7718.88,26.13,12.96,13
3148,小平贷,0,454.05,2.11,8.11,215,56,2.45,162.5,0,10.4,10.9,4905.17,22.86,20.39,75
3164,陇e贷,0,2990.71,11.41,80.83,262,37,5.96,0.8,-90.55,6.91,7.3,17883.73,14.97,5.59,50
3168,惠金贷,1,2235,9.01,12.49,248,179,2.09,161.95,51,13.83,7.56,20942.24,17.92,3.24,181
3175,满益网,0,6079.04,4.81,26.32,1263,231,4.61,5.7,-67.72,7.3,8.38,23057.44,9.39,4.34,272
3187,投融家,1,44650.08,3.2,14.63,13972,3051,31.8,313.34,-243.71,10.25,4.29,159008.12,2.16,0.69,3134
3192,理财农场,0,12187.77,3.37,15.95,3614,764,8.34,3.8,-234.88,6.87,6.9,100062.98,3.59,1.07,891
3259,奇乐融,0,4189.15,9.7,68.67,432,61,7.32,4.78,-246.38,6.46,3.95,21971.72,21.37,8.11,100
3260,国民丰泰,1,898.98,4.41,128.43,204,7,2.19,1064.18,30,10.81,2.04,2190.25,34.41,98.86,80
3271,中融通贷,0,1859,6.69,84.5,278,22,1.02,740.53,32.85,16.53,1.83,5090.19,31.27,20.66,159
3301,鱼猫金服,0,988.9,6.96,32.96,142,30,0.68,2.54,-10,9.75,2.92,3405.56,32.94,29.94,44
3309,我要投,0,908.94,7.64,39.52,119,23,1.87,2.21,0,9.29,4.17,9333.96,57.14,12.86,26
3322,好好理财,1,5185,3.44,81.02,1507,64,12.01,155.88,82.77,12,7.62,60046.82,7.06,1.91,129
3324,车赚,0,9.45,0.59,3.15,16,3,0.14,1687.93,0,14.17,1,276.1,59.36,35.07,3
